trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.85, 'e': 0.9887710779360422}",20,0,-172.36383915883275,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
151,False,"{'a': 0.85, 'e': 0.9886211454429773}",35,0,-196.7228757079128,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
152,False,"{'a': 0.85, 'e': 0.9884702243288492}",20,0,-116.65989769947461,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
153,False,"{'a': 0.85, 'e': 0.9883183147445792}",20,0,-138.37471422770673,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
154,False,"{'a': 0.85, 'e': 0.9881654168420767}",25,0,-62.342346253915196,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
155,False,"{'a': 0.85, 'e': 0.9880115307742399}",20,0,-55.58046879373677,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
156,False,"{'a': 0.85, 'e': 0.9878566566949545}",20,0,-116.89280982740883,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 0.85, 'e': 0.9877007947590948}",25,0,-130.9049234186878,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.85, 'e': 0.9875439451225226}",25,0,-158.4332924793143,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
159,False,"{'a': 0.85, 'e': 0.9873861079420876}",30,0,-162.41175151045874,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
160,False,"{'a': 0.85, 'e': 0.9872272833756269}",20,0,-141.42762314411783,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",1
161,False,"{'a': 0.85, 'e': 0.9870674715819652}",20,0,-111.29164686225457,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
162,False,"{'a': 0.85, 'e': 0.986906672720914}",20,0,-100.91111297873346,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
163,False,"{'a': 0.85, 'e': 0.9867448869532726}",20,0,-88.31319754518523,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
164,False,"{'a': 0.85, 'e': 0.9865821144408262}",35,13,-47.831619004799805,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 0}",1
165,False,"{'a': 0.85, 'e': 0.9864183553463477}",30,0,-49.90233458637752,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.85, 'e': 0.986253609833596}",20,0,-153.86839331031712,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
167,False,"{'a': 0.85, 'e': 0.9860878780673167}",25,0,-84.66106568247214,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
168,False,"{'a': 0.85, 'e': 0.9859211602132415}",25,0,-147.54002094656303,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
169,False,"{'a': 0.85, 'e': 0.9857534564380882}",20,0,-117.7614220410974,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
170,False,"{'a': 0.85, 'e': 0.9855847669095608}",30,0,-120.6436137898495,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
171,False,"{'a': 0.85, 'e': 0.9854150917963483}",30,0,-225.1434130179117,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 2}",0
172,False,"{'a': 0.85, 'e': 0.9852444312681263}",20,7,-116.53526526209953,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 2}",1
173,False,"{'a': 0.85, 'e': 0.9850727854955552}",30,0,-245.7485923602687,"{0: 17, 1: 3, 2: 3, 3: 3, 4: 4}",0
174,False,"{'a': 0.85, 'e': 0.9849001546502806}",20,0,-103.5497276460356,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
175,False,"{'a': 0.85, 'e': 0.9847265389049334}",20,0,-98.31974477196162,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.85, 'e': 0.9845519384331295}",25,0,-134.08764494345604,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
